kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.0000000	0.0095675	1.0000000	0.4628153	0.0523456	0.0022905	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0000051	1.0000000	0.4628154	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.9999750	0.0000025	0.9999091	0.7395992	1.0000000	0.9999958	0.0433639	0.9999997	0.9999987
1.0000000	0.0095675	1.0000000	0.0000034	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.0000023	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	0.0000021	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.0000030	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.0000013	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.0000013	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.0000022
