glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.8901185	0.7391791	0.7483564	0.1152221	0.1159839	0.4627975	0.7447557	0.3783837	0.1860969	0.3334598	0.4710570	0.6888912	0.5989248	0.8978945	0.7396312
0.6995029	0.7453003	0.8081924	0.0845298	0.1116387	0.6519038	0.8105932	0.6242426	0.1851220	0.2451783	0.5594097	0.7021879	0.6651915	0.8277186	0.6713301
0.7750009	0.6810926	0.8672424	0.1687849	0.1110937	0.6335007	0.6340810	0.3506054	0.3614604	0.2227030	0.6034018	0.7699210	0.7444118	0.8462300	0.5549579
0.8173419	0.8360462	0.4596287	0.1590394	0.2308150	0.4820839	0.6289656	0.0859528	0.5458625	0.4720727	0.3178714	0.6801243	0.2638217	0.6463593	0.3832353
0.6553581	0.7036703	0.6535076	0.1850238	0.1736493	0.6453411	0.6483492	0.4833360	0.1494850	0.2870569	0.5472587	0.6156918	0.5126878	0.6958727	0.6660661
0.9215519	0.8144397	0.7677773	0.1089910	0.1045673	0.6538729	0.8224210	0.3463939	0.2110971	0.3327940	0.4961759	0.6432609	0.7480914	0.7994223	0.6996887
0.7360021	0.8552917	0.5252078	0.2762985	0.1862101	0.6312139	0.8486560	0.2086706	0.3229307	0.3550068	0.4721561	0.7785436	0.4331205	0.7096468	0.4639846
0.5953082	0.8057645	0.7056058	0.1741652	0.0636806	0.6204957	0.6978562	0.4038876	0.3622155	0.2685262	0.5419908	0.7232705	0.6292851	0.7423614	0.5090256
0.7427199	0.9025989	0.7729366	0.0292652	0.0442245	0.7206138	0.6144611	0.4636836	0.1128047	0.2217340	0.6096987	0.7694219	0.6501644	0.8488739	0.8015222
0.7513871	0.6881798	0.8057854	0.0683728	0.0867276	0.6787745	0.7852602	0.4063489	0.3145808	0.1677453	0.5533199	0.7024376	0.5831746	0.6270512	0.5097720
0.6584775	0.7131835	0.7818218	0.1053482	0.0855516	0.5427789	0.7694494	0.4408944	0.1803660	0.2626936	0.6768929	0.7214217	0.6995357	0.9578410	0.5874835
0.6172438	0.7124700	0.7361881	0.1030895	0.1043870	0.7246268	0.8100425	0.3831185	0.4542147	0.2971383	0.6809757	0.7872915	0.5852132	0.5884994	0.6362554
0.4970419	0.7077266	0.7299797	0.1638630	0.0819437	0.7195348	0.7819249	0.3201846	0.2091167	0.2690470	0.5681300	0.6961429	0.5811990	0.6632613	0.6835384
0.7523120	0.7706195	0.7213959	0.0910776	0.0909907	0.5752222	0.8428515	0.3414899	0.2657073	0.2245170	0.4892707	0.8361269	0.6655496	0.6712414	0.8301180
0.8585470	0.7684474	0.6726855	0.0993189	0.0539822	0.5191091	0.6210330	0.3490747	0.2431142	0.2351113	0.5928468	0.8438095	0.6383144	0.6155928	0.6975515
